company,city,product,header,review,mark,date,link
rosgosstrah,Ульяновск,ОСАГО,Сплошное надувательство,"Оформила ОСАГО 3 октября 2020 года. На почту пришел номер и чек. Страховой видимо не посчитали нужным присылать. В личном кабинете не находит моего полиса программа. На почте поддержке отвечают шаблонами. Рассматривают они заявку!!!! Что рассматривать можно столько времени???? Я в шоке, больше с ними сотрудничать не буду и никому не советую.",4.0,15 окт 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/381723/?page=22
rosgosstrah,Ростов-на-Дону,ОСАГО,Не присылают оплаченный полис ОСАГО на почту,"02.10.2020 был заключен договор и оплачен полис е-ОСАГО через РСА (е-гарант). В это же день, прислали на почту чек об оплате и сообщение о заключении полиса. Однако, сам полис не прислали (папку СПАМ проверяли неоднократно). И нет его на руках до сих пор, хотя сегодня уже 13.10.2020, полис уже неделю как действует, а также все это время пробивается... ",3.0,13 окт 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/381559/?page=23
rosgosstrah,Йошкар-Ола,Другое,Не вернули страховую премию при расторжении договора в период охлаждения,Здравствуйте,2.0,13 окт 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/381544/?page=23
rosgosstrah,Казань,ОСАГО,Россгострах - это  наглый обман ,"4 апреля 2019 года  попал в ДТП. Я был потерпевший стороной. На свою беду  я был застрахован  в россгострахе и страховался там на протяжении 9 лет и не мог представить насколько нагло может повести себя компания  когда дело коснётся выплат.В тот же день я позвонил в россгострах, зарегистрировал страховой случай и на следующий же день меня попросили показать... ",1.0,12 окт 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/381491/?page=23
rosgosstrah,Подольск,Другое,Не выплатили деньги при расторжении полиса в период охлаждения!!!,"Добрый день! 15.09.2020 подала пакет документов на расторжение договора страхования в период охлаждения! 10 и даже 15 дней уже истекли. Никакого внятного ответа от операторов на горячей линии получить нельзя(они ничего не видят и повлиять не могут). В очередном звонке на горячую линию я узнала, что мое обращение отправленное 15.09.20 зарегистрировано... ",1.0,08 окт 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/381064/?page=25
rosgosstrah,Белорецк,Другое,Затягивают с выплатами . ,"Добрый день. В нашей семье случилось горе , сгорел дом , баня , вообщем всё, ничего не осталось .Дом был застрахован . 2.09 сдала все недостающие документы , в статусе выплатного дела была указана дата 5.10 будет принято решение , зашла посмотреть , а там уже написано « плановая дата не определена» . Сколько ещё ждать ? Впереди зима , в семье маленькие... ",3.0,06 окт 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/380771/?page=26
rosgosstrah,Самара,ОСАГО,Невозможно оформить ОСАГО онлайн,"Вторую неделю не могу оформить онлайн ОСАГО в Росгосстрахе. 3 года страховалась там, в авариях ни разу не учасвствавала, и вот увы и ах, они почему-то больше не хотят сотрудничать. при попытке оформить полис, отправляют на сайт РСА, а там мне не дают выбрать данную компанию. Я живу в Самаре, но РСА упорно предлагает мне страховые компании Нижнего Новгорода.... ",3.0,25 сент 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/379607/?page=31
rosgosstrah,Рязань,ОСАГО,невозможно внести изменения в полис,Добрый день!,3.0,21 сент 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/379082/?page=33
rosgosstrah,Омск,Страхование жизни,"Взяла кредит с страхованием жизни,отказалась от неё в период охлаждения,денежные средства не вернули","Взяла кредит в РГСбанк с уже включённой в него страховкой, от страховки отказалась на 9 день, после заключения договора, соответственно по срокам попало в период охлаждения, когда я могу вернуть денежные средства полностью. На почту мне поступило письмо о том, что средства вернутся в течении 10 рабочих дней, либо максимум- 15 из-за пандемии. На протяжении... ",2.0,17 сент 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/378774/?page=34
rosgosstrah,Кировск,ОСАГО,НЕ ПОНЯТНЫЙ СЛУЧАЙ.,"24.08.20 страховал авто по ОСАГО,через услугу в ПОТА РОССИИ.ДО сих пор нет ,не страховки не возврата денег а сегодня 17.09.20 не буду писать подробно в чем дело,но как меня информировали на ПОТА РОССИИ,менялась программа по закондательству и моя страховка не может вступить в силу.Обещают вернуть деньги,только незнают как это сделать.Уважаемый РОСГОССТРАХ... ",3.0,17 сент 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/378741/?page=34
rosgosstrah,Москва,Другое,Не вернули деньги за полис страхования телефона,"Не возвращают деньги в течении 15 дней , просят снова заполнить заявление ответ на который ждать 30 дней. Прошу дать внятный ответ № C-4283407",3.0,16 сент 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/378601/?page=34
rosgosstrah,Калуга,ОСАГО,Ни в коем случае не связывайтесь с компанией Росгосстрах,"Второй раз связался с компанией Росгосстрах,вкратце по первому случаю:около 10 лет назад я владел ВАЗ 211004,в результате дтп были сильно повреждены 2 двери и другие элементы левого борта,компания насчитала ущерб около 35т.р.,,обратился к независимому юристу,он через суд выбил еще столько же или чуть больше,точно не помню.",3.0,08 сент 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/378036/?page=35
rosgosstrah,Гиагинская,ОСАГО,Страховка ОСАГО,"Получил самый негативный опыт общения с данной страховой компанией.При оформлении полиса ОСАГО онлайн компания получает оплату ,а полис на электронную почту выслать не считает возможным,только чек об оплате.При обращении на горячую линию,а затем на сайт техподдержки получил рекомендацию - посетить офис лично и там решить свой вопрос.Как будто выслать... ",3.0,02 сент 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/377466/?page=38
rosgosstrah,Москва,Другое,НЕ СВЯЗЫВАЙТЕСЬ !!,"Оформили страховку на телефон, в течении пару дней после оформления решили от нее отказаться, направили все документы в электроном виде, сообщили что будет рассмотрение в течении 10-14 дней, в течении этих дней вся сумма вернется на карту.",1.0,30 авг 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/377161/?page=39
rosgosstrah,Иркутск,ОСАГО,Оформление полиса осаго,"В июле месяце пришел в офис росгосстрах на байкальской хотел оформить полис осаго, девушка взяв документы сказала, что у вас было дтп надо фотографировать машину дала телефон и сказала что фото делают на рабочего штаба там и полис получите. Позвонив по телефону девушка сказала что очередь только на 24 августа ближайшая, ждать месяц, записали на 10... ",3.0,24 авг 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/376371/?page=41
rosgosstrah,Иркутск,ОСАГО,Хочу выразить благодарность,"Здравствуйте, хочу выразить огромную благодарность сотрудникам ""Росгосстрах"". После ДТП и признания виновным другого водителя, предстояли круги ада о компенсации ущерба, так я себе это представляла, начитавшись отзывов. Но все оказалось намного проще. Девушка по телефону, очень вежливо общалась, все зарегистрировала, дала полный ответ на все вопросы,... ",5.0,22 авг 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/376269/?page=42
rosgosstrah,Чита,ОСАГО,Отказ в страховании ОСАГО,"После долгого и утомительного ожидания в очереди , хотя и клиентов было мало , просто очень медленно работают, консультант сказала что Вас мы не сможем застраховать по Осаго так как программа пишет нужен осмотр авто, прижайшая запись на осморт через 10 дней. До этого я каждый годстраховался и такого небыло. Сказали скорее всего программа не дает застроховать... ",2.0,10 авг 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/374930/?page=45
rosgosstrah,Старый Оскол,ОСАГО,Нет возможности исправить ошибку в полисе. Тех. поддержка не отвечает.,"з августа оформляли электронный полис ОСАГО. Была допущена ошибка в фамилии водителя. После оформления при попытке исправить ошибку через сайт появляется ошибка ""В настоящий момент изменение в Ваш полис невозможно"". Посетить офис возможности нет. В тот же день было отправлено обращение ([D-4023097) в службу поддержки. В авто-ответе пришла информация... ",1.0,07 авг 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/374748/?page=45
rosgosstrah,Смоленск,Каско,БЕСПРЕДЕЛ! ТЯНУТ СРОКИ ПО КАСКО! ,"19.05.20 я подал документы в Росгосстрах о повреждении моего автомобиля.Присвоили номер убытка 001777926420.05.20 они направили мне письмо, о том, что ""для полного и объективного исследования Возникла необходимость в проверке документов"" И что в соответствии с Правилами, срок рассмотрения увеличится. Хорошо, читаю правила ""Срок может быть увеличен,... ",2.0,04 авг 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/374474/?page=46
rosgosstrah,Новосибирск,ОСАГО,НЕ МОГУ ПОЛУЧИТЬ ПОЛИС,"Оформили полис ОСАГО в Росгосстрахе 04 июня, сразу списались дениги с карты и пришел чек. А сам полис не можем вытребовать до сих пор (сегодня 9 июня!). Звоним в РГС, говорят ожидайте до 10 рабочих дней! Вы шутите?! Мне на учет машину поставить надо было по записи через Госуслуги (в период пандемии документы в МРЭО принимают только так, а запись расписана... ",3.0,09 июля 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/372148/?page=54
rosgosstrah,Артем,ОСАГО,Затягивание выплаты,"1 ноября 2019 г. муж попал в ДТП, с тех пор начался ад. Перед машины полностью смят, выстрелили подушки безопасности, машина не на ходу. 2 раза приезжали с РГС сотрудники оценить ущерб, даже не подумав машину на сто. Бесконечное ожидание писем с отказом в выплате, хотя очевидно было изначально что она должна быть. После обращения в независимую экспертизу... ",3.0,08 июля 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/372082/?page=54
rosgosstrah,Химки,Страхование ответственности,Оценка ущерба РГС,"Оценщик от РГС не может прийти уже третий день для осмотра затопленной квартиры соседями сверху, имеющими полис на страхование гражданской ответственности. Все кормят, как мантрой «наш сотрудник с вами свяжется в течение суток». По звонку на горячую линию ничего не могут решить, полнейшее безразличие и некомпетентность. (дело 0017828176)",1.0,19 июня 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/369212/?page=58
rosgosstrah,Волгоград,ОСАГО,Обман при расчете стоимости ОСАГО,"Страхуюсь в этой компании 5 лет, каждый год чтобы заключить договор ОСАГО, отдать деньги, а не получить их, нужно пройти пару кругов ада. Каждый год стоимость ОСАГО растет в связи с обманом при расчете - раньше менеджер, а теперь и личный кабинет упорно применяют недостоверные данные класса водителей (при отсутствии страховых случаев). К сожалению,... ",3.0,16 июня 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/368914/?page=58
rosgosstrah,Нижний Новгород,ОСАГО,Намеренно затягивают процесс рассмотрения выплатного дела,"Отвратительная контора, намеренно затягивают процесс рассмотрения выплатного дела , уже 2 раза присылают отказ заказным письмом , которое идёт больше 2х недель !!! Вводят в заблуждение , говоря что можно отправить не достающие документы на электронную почту , присылают тут же отказ и требуют оригинал документа письмом , которое опять будет идти 1,5... ",2.0,10 июня 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/368544/?page=59
rosgosstrah,Грозный,ОСАГО,Компания Росгосстрах все работники аферисты и мощеники,15187487 в 2017году у меня произошло Дтп я как пострадавший обратился в Росгосстрах с пакетом документов через некоторое время приехал эксперт (Султан) осмотрел машину через неоторое время мне отказывают иза того что я не предоставил машину на осмотр (хотя приезжал эксперт Султан и осматривал пострадавший автомобиль). В связи с с обстоятельствапи я... ,1.0,07 июня 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/368300/?page=60
rosgosstrah,Реутов,ОСАГО,Е-Осаго (нельзя направить диагностическую карту),"При оформлении было указано, что в течении месяца я должен предоставить диагностическую карту(ДК) авто. Уточнил на горячей линии этот вопрос, мне сказали, что нужно ехать в офис. ДК у меня тоже будет электронная зачем мне ехать в офис? я только ради этого оформлял все онлайн, иначе бы сделал совсем по другому. Есть единая система этих ДК, почему я... ",5.0,22 мая 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/366994/?page=63
rosgosstrah,Бийск,ОСАГО,"Е ОСАГО , ошибка в договоре-деньги пропали","Оформил ОСАГО в компании Росгосстрах, тк режим самоизоляции а машина нужна и в магазин ездить нужно далеко. Допустил ошибку в оформлении, на горячей линии сказали в личном кабинете пробуйте исправить, пока исправлял (а точнее бился как об стену с этим исправлением) ничего не вышло, на горячей линии говорят езжайте в офис мы удаленно ничем помочь не... ",1.0,09 мая 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/365275/?page=66
rosgosstrah,Баксан,ОСАГО,Не приходит электронный полис Росгосстрах на почту,"Здравствуйте, 29.04.2020 оформила электронный полис Россгострах xxx 0119532800.   На почту получила только чек об оплате и номер своего полиса . Сегодня 05.05.2020 и из за отсутсвия самого полиса не могу выезжать на своём авто . Очень обидно за такое отношение к клиентам .",5.0,05 мая 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/364716/?page=67
rosgosstrah,Новосибирск,ОСАГО,Страховка так и не пришла,"17.04.2020 оформила осаго, деньги с карты сняли молниеносно, но страховки нет до сих пор. Куда жаловаться, сразу в прокуратуру? Это мошенники?",4.0,18 апр 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/362636/?page=70
rosgosstrah,Псков,ОСАГО,Полис ОСАГО через сайт сравни.ру,"Оформила полис осаго через сайт сравни.ру, но полис от Росгосстрах так и не пришел, на горячей линии в Росгосстрахе просят назвать номер полиса, которого нет.Деньги со счёта списали.",1.0,16 апр 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/362440/?page=70
rosgosstrah,Москва,ОСАГО,Оплатил полис ОСАГО. Полис не получил.,"Заказал полис ОСАГО через sravni.ru/ Компанию выбрал Росгосстрах(другого выбора не было).Оформление прошло быстро, а также оплата прошла быстро и без проблем. А вот полис так и не выслали. Позвонил на номер 0530, мне ответили ожидать в течении дня. Потом в течении суток. Полис так и не выслали, хотя пишут что в базу данных внесено. Настроение испорчено... ",3.0,12 апр 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/361812/?page=71
rosgosstrah,Павловск,ОСАГО,"Деньги списали, а полис не прислали.
","8 апреля оформили полис ОСАГО через через СРАВНИ.РУ, деньги списали сразу, прислали чек, а полис нет. Прошло двое суток, на горячей линии ссылаются на техподдержку. Пишем в техподдержку, но безрезультатно, полный игнор. Видимо придётся писать заявление в прокуратуру. Больше никогда не будем страховать в РОСГОССТРАХЕ и ни кому не советуем! Это просто... ",1.0,10 апр 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/361708/?page=71
rosgosstrah,Новосибирск,ОСАГО,Мошенники.,"Оформила полис осаго на сайте, деньги списали, а полис так и не прислали. Никому не советую эту компанию. Оценка ниже единицы.",1.0,07 апр 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/361270/?page=72
rosgosstrah,Феодосия,ОСАГО,"Никогда не связывайтесь со страховой компанией ПАО СК «Росгосстрах»
- или не оплатят или попадете на",Страховая ПАО СК « Росгосстрах» выставила регресс о не вовремя отправленных документах.,2.0,04 апр 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/360724/?page=73
rosgosstrah,Калуга,ОСАГО,Не приходит на почту полис ОСАГО,"4 апреля в 10.02 через сайт sravni.ru купил полис осаго у Росгосстраха. Полис до сих пор не пришёл, почитал здесь отзывы и приуныл, получение полиса затягивается до трёх дней. Первая такая страховая в моём опыте, полис от других компаний приходит в течение пяти минут. ПОЛИС ПРИШЁЛ ЧЕРЕЗ ЧАC ПОСЛЕ ОФОРМЛЕНИЯ, проблема решена",4.0,04 апр 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/360711/?page=73
rosgosstrah,Тамбов,ОСАГО,е-Осаго Одна опечатка и деньги на ветер,"Оформлял эл. осаго, доспустил мех. опечатку и цифры перепутал в номере ТС, изменить договор невозможно , можно только расторгнуть причем только в офисе , как офрмить и платить , так можно онлайн, вернуть стредства извольте в офис, какая дикость , они намеренно отказываются вносить изменения в договор опираясь на наше дырявое законодательство, причем... ",2.0,02 апр 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/360495/?page=74
rosgosstrah,Новосибирск,ОСАГО,Выплата по Осаго,"Много читал плохих отзывов про страховую компанию Росгосстрах.. Столкнувшись со страховым случаем сделал для себя очень правильный вывод- Буду постоянно страховать автомобиль в этой коммании и советовать всем!!! После аварии тут же позвонил на номер 0530 чтобы сообщить о страховом случае. Очень вежливо и приветливо ответили на все вопросы, зарегистрировали... ",5.0,29 мар 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/358876/?page=75
rosgosstrah,Москва,ОСАГО,Е-ОСАГО Одна ошибка стоит очень много,"Это мой первый полис осаго, поскольку на период недельного карантина все отделы продаж были закрыты, пришлось оформлять самому через интернет. С помощью сайта сравни ру я оформил е-осаго, сервис показал мне первым (как мне показалось) надежным страховщиком компанию РОСГОССТРАХ. Произошло следующие, допущена опечатка в моем имени, а именно отсутствует... ",2.0,28 мар 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/358875/?page=75
rosgosstrah,Москва,Туристическая страховка,Шарашкина контора,"Оформила полис страхования для выезжающих за рубеж, но в связи с обстановкой поездка не состоялась.",1.0,27 мар 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/358723/?page=75
rosgosstrah,Иркутск,ОСАГО,Ужасная страховая компания,"Страхуемся в компании уже третий год. Скидок никаких нет. Первый год оплатили за страховку 6.000 руб, во второй и в третий ещё больше и больше. Хотя аварии у нас не было в те года. Авария произошла у нас нынче 11 февраля, я была не виновата. Прием ведется по записи которая состоялась только 6 марта. Месяц машина стояла и до сих пор стоит,сегодня уже... ",2.0,26 мар 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/358602/?page=75
rosgosstrah,Иркутск,ОСАГО,Не рекомендую вообще! Во всём!,"Страхуемся в компании уже третий год. Скидок никаких нет. Первый год оплатили за страховку 6.000 руб, во второй и в третий ещё больше и больше. Хотя аварии у нас не было в те года. Авария произошла у нас нынче 11 февраля, я была не виновата. Прием ведется по записи которая состоялась только 6 марта. Месяц машина стояла и до сих пор стоит,сегодня уже... ",2.0,18 мар 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/357055/?page=79
rosgosstrah,Алексин,ОСАГО,Не реагируют на запрос о изменён и данных,"Заявка IT-3327236 была опубликована ещё 27.02. И до сих пор не могут внести изменения, хотя на рассмотрение они отводят до 10 дней. Девочку страховщицу уже жалко, я ее достал каждодневными звонками. Но она не может изменить паспорт и номер прав без главного офиса! А офис тупо морозится. Лично с меня хватит УБЕГУ ОТСЮДА!",3.0,17 мар 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/357033/?page=79
rosgosstrah,Бузулук,ОСАГО,Росгосстрах отказывается вносить изменения в электронное ОСАГО,"14.02.2020г. для постановки на учет нового Авто оформил электронный ОСАГО от Росгосстрах (период действия с 18.02.2020г. по 17.02.2021г.). После постановки на учет получил новые номера, т. е. появилась необходимость внести изменения в полис. В личном кабинете Росгосстраха не смог внести изменения - программа писала, что необходимо внести изменения... ",3.0,12 мар 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/356244/?page=81
rosgosstrah,Курган,Обслуживание,Королевы офиса,"Опыт взаимодействия с компанией очень большой... Опыт работы в компании ргс 10 лет... И за 10 лет работы повидала и пережила в ней много, как начальников, так и ситуаций.. Но последний начальник С-их Ирина Владимировна и Анастасия(к сожалению я даже не запомнила как ее зовут, такой это работник, 2020 год) не считают нужным находиться на рабочем месте,... ",1.0,11 мар 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/356237/?page=81
rosgosstrah,Санкт-Петербург,ОСАГО,Отсутствует полис после оплаты!,5 марта 2020 года оформлял страховку Росгосстрах через сайт sravni.ru до сих пор на почте полиса нет!! Что за отношение такое DJ4R4K?? Разводом попахивает.,2.0,06 мар 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/355708/?page=82
rosgosstrah,Краснодар,ОСАГО,Оплатил и нет полиса на почте!,"После оплаты, нет ничего на почте. Ни слуху ни духу.Пытался с Тинькофф страховку сделать - не даёт. Все висит. Через сайт сравни пытается сделать. Тут высветилась альтернатива, РГС, все данные перепроверил, пришло смс с кодом с официального росгосстрах, подтвердил, оплатил. Должна была быть страховка выслана на почту - нет ничего! Как спать теперь???... ",4.0,03 мар 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/355425/?page=83
rosgosstrah,Воронеж,ОСАГО,Не рекомендую !,"Так случилось что пришлось оформить полис ОСАГО у росгострах.  Знали что очень плохие отзывы . Напишу о своей не приятной ситуации.Перед новым годом случилось дтп, оценили ущерб , приняли положительное решение. Выплату произвели, но ошиблись в моем ОТЧЕСТВЕ! Указали не Владимировна а ВладимироНВА, деньги разумеется банк им вернул и в итоге были нарушены... ",2.0,02 мар 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/355310/?page=83
rosgosstrah,Новосибирск,Туристическая страховка,"Никогда не связывайтесь с компаниями, в названии которых есть ""РОС"" или ""ГОС""",Купили страховку у РОСГОССТРАХА для поездки в Таиланд семьёй.,2.0,26 февр 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/354466/?page=85
rosgosstrah,Улан-Удэ,ОСАГО,Где мой полис осаго???? ,"Уже прошло 3 дня как я оплатил полис ОСАГО и тишина..... Тех поддержка не работает вообще, ни телефон, ни электронной. Деньги сняли и ушли не известно куда, никаких уведомлений. Сколько ждать неизвестно??? Не рекомендую!!!!!",1.0,21 февр 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/354030/?page=86
rosgosstrah,Гороховец,ОСАГО,Отвратительная работа сервиса сайта,"Приобрела электронное ОСАГО в Росгосстрах на 3 месяца. По истечению этого времени, думаю надо зарегистрироваться в личном кабинете и продлить. Первая проблема, с которой я столкнулась - сайт не находит мой полис, пришлось обращаться в тех поддержку, добавили. Далее решила оплатить оставшуюся страховую премию, чтобы продлить период страхования и опять... ",3.0,21 февр 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/354009/?page=86
rosgosstrah,Томск,ОСАГО,Не приходит электронный полис ОСАГО,"20.02.20 в 13-30 по Московскому времени Оформила онлайн заявку на полис ОСАГО деньги списали прошло 6 часов, ни чека ни полиса нет!!! На РГС информация что полис приходит сразу после оплаты. П-ва Светлана Анатольевна 13.03.1985.",1.0,20 февр 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/353774/?page=86
rosgosstrah,Калтан,ОСАГО,Полис осаго,"16.02.20 хотел оформить электронный полис осаго в росгосстрах, деньги сняли моментально, а полиса до сих пор нет, буду писать в прокуратуру!",1.0,20 февр 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/353762/?page=87
rosgosstrah,Омск,ОСАГО,Полис осаго ,"Очень плохое отношение к клиентам, тех поддержка вообще не работает и работать не собирается. Оплатил полис осаго онлайн, так и не пришёл, но деньги сняли, в контакт центре не консультируют и не хотят вообще помогать. Никому не порекомедую эту компания. В других компаниях есть онлайн чат,где всегда могут Проконсультировать 24часа в сутки,а тут техподдержка... ",1.0,20 февр 2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/353619/?page=87
