,company,city,product,header,review,mark,date,link,full_review,class
16,rosgosstrah,Самара,ОСАГО,Невозможно оформить ОСАГО онлайн,"Вторую неделю не могу оформить онлайн ОСАГО в Росгосстрахе. 3 года страховалась там, в авариях ни разу не учасвствавала, и вот увы и ах, они почему-то больше не хотят сотрудничать. при попытке оформить полис, отправляют на сайт РСА, а там мне не дают выбрать данную компанию. Я живу в Самаре, но РСА упорно предлагает мне страховые компании Нижнего Новгорода.... ",3.0,25-Sep-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/379607/?page=31,невозможно оформить осаго онлайн вторую неделю не могу оформить онлайн осаго в росгосстрахе    года страховалась там  в авариях ни разу не учасвствавала  и вот увы и ах  они почему то больше не хотят сотрудничать  при попытке оформить полис  отправляют на сайт рса  а там мне не дают выбрать данную компанию  я живу в самаре  но рса упорно предлагает мне страховые компании нижнего новгорода     ,-1.0
17,rosgosstrah,Рязань,ОСАГО,невозможно внести изменения в полис,Добрый день!,3.0,21-Sep-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/379082/?page=33,невозможно внести изменения в полис добрый день ,-1.0
18,rosgosstrah,Омск,Страхование жизни,"Взяла кредит с страхованием жизни,отказалась от неё в период охлаждения,денежные средства не вернули","Взяла кредит в РГСбанк с уже включённой в него страховкой, от страховки отказалась на 9 день, после заключения договора, соответственно по срокам попало в период охлаждения, когда я могу вернуть денежные средства полностью. На почту мне поступило письмо о том, что средства вернутся в течении 10 рабочих дней, либо максимум- 15 из-за пандемии. На протяжении... ",2.0,17-Sep-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/378774/?page=34,взяла кредит с страхованием жизни отказалась от не  в период охлаждения денежные средства не вернули взяла кредит в ргсбанк с уже включ нной в него страховкой  от страховки отказалась на   день  после заключения договора  соответственно по срокам попало в период охлаждения  когда я могу вернуть денежные средства полностью  на почту мне поступило письмо о том  что средства вернутся в течении    рабочих дней  либо максимум     из за пандемии  на протяжении    ,-1.0
19,rosgosstrah,Кировск,ОСАГО,НЕ ПОНЯТНЫЙ СЛУЧАЙ.,"24.08.20 страховал авто по ОСАГО,через услугу в ПОТА РОССИИ.ДО сих пор нет ,не страховки не возврата денег а сегодня 17.09.20 не буду писать подробно в чем дело,но как меня информировали на ПОТА РОССИИ,менялась программа по закондательству и моя страховка не может вступить в силу.Обещают вернуть деньги,только незнают как это сделать.Уважаемый РОСГОССТРАХ... ",3.0,17-Sep-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/378741/?page=34,не понятный случай           страховал авто по осаго через услугу в пота россии до сих пор нет  не страховки не возврата денег а сегодня          не буду писать подробно в чем дело но как меня информировали на пота россии менялась программа по закондательству и моя страховка не может вступить в силу обещают вернуть деньги только незнают как это сделать уважаемый росгосстрах    ,-1.0
20,rosgosstrah,Москва,Другое,Не вернули деньги за полис страхования телефона,"Не возвращают деньги в течении 15 дней , просят снова заполнить заявление ответ на который ждать 30 дней. Прошу дать внятный ответ № C-4283407",3.0,16-Sep-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/378601/?page=34,не вернули деньги за полис страхования телефона не возвращают деньги в течении    дней   просят снова заполнить заявление ответ на который ждать    дней  прошу дать внятный ответ   c        ,-1.0
21,rosgosstrah,Калуга,ОСАГО,Ни в коем случае не связывайтесь с компанией Росгосстрах,"Второй раз связался с компанией Росгосстрах,вкратце по первому случаю:около 10 лет назад я владел ВАЗ 211004,в результате дтп были сильно повреждены 2 двери и другие элементы левого борта,компания насчитала ущерб около 35т.р.,,обратился к независимому юристу,он через суд выбил еще столько же или чуть больше,точно не помню.",3.0,08-Sep-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/378036/?page=35,ни в коем случае не связывайтесь с компанией росгосстрах второй раз связался с компанией росгосстрах вкратце по первому случаю около    лет назад я владел ваз        в результате дтп были сильно повреждены   двери и другие элементы левого борта компания насчитала ущерб около   т р   обратился к независимому юристу он через суд выбил еще столько же или чуть больше точно не помню ,-1.0
22,rosgosstrah,Гиагинская,ОСАГО,Страховка ОСАГО,"Получил самый негативный опыт общения с данной страховой компанией.При оформлении полиса ОСАГО онлайн компания получает оплату ,а полис на электронную почту выслать не считает возможным,только чек об оплате.При обращении на горячую линию,а затем на сайт техподдержки получил рекомендацию - посетить офис лично и там решить свой вопрос.Как будто выслать... ",3.0,02-Sep-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/377466/?page=38,страховка осаго получил самый негативный опыт общения с данной страховой компанией при оформлении полиса осаго онлайн компания получает оплату  а полис на электронную почту выслать не считает возможным только чек об оплате при обращении на горячую линию а затем на сайт техподдержки получил рекомендацию   посетить офис лично и там решить свой вопрос как будто выслать    ,-1.0
23,rosgosstrah,Москва,Другое,НЕ СВЯЗЫВАЙТЕСЬ !!,"Оформили страховку на телефон, в течении пару дней после оформления решили от нее отказаться, направили все документы в электроном виде, сообщили что будет рассмотрение в течении 10-14 дней, в течении этих дней вся сумма вернется на карту.",1.0,30-Aug-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/377161/?page=39,не связывайтесь    оформили страховку на телефон  в течении пару дней после оформления решили от нее отказаться  направили все документы в электроном виде  сообщили что будет рассмотрение в течении       дней  в течении этих дней вся сумма вернется на карту ,-1.0
24,rosgosstrah,Иркутск,ОСАГО,Оформление полиса осаго,"В июле месяце пришел в офис росгосстрах на байкальской хотел оформить полис осаго, девушка взяв документы сказала, что у вас было дтп надо фотографировать машину дала телефон и сказала что фото делают на рабочего штаба там и полис получите. Позвонив по телефону девушка сказала что очередь только на 24 августа ближайшая, ждать месяц, записали на 10... ",3.0,24-Aug-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/376371/?page=41,оформление полиса осаго в июле месяце пришел в офис росгосстрах на байкальской хотел оформить полис осаго  девушка взяв документы сказала  что у вас было дтп надо фотографировать машину дала телефон и сказала что фото делают на рабочего штаба там и полис получите  позвонив по телефону девушка сказала что очередь только на    августа ближайшая  ждать месяц  записали на       ,-1.0
25,rosgosstrah,Иркутск,ОСАГО,Хочу выразить благодарность,"Здравствуйте, хочу выразить огромную благодарность сотрудникам ""Росгосстрах"". После ДТП и признания виновным другого водителя, предстояли круги ада о компенсации ущерба, так я себе это представляла, начитавшись отзывов. Но все оказалось намного проще. Девушка по телефону, очень вежливо общалась, все зарегистрировала, дала полный ответ на все вопросы,... ",5.0,22-Aug-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/376269/?page=42,хочу выразить благодарность здравствуйте  хочу выразить огромную благодарность сотрудникам  росгосстрах   после дтп и признания виновным другого водителя  предстояли круги ада о компенсации ущерба  так я себе это представляла  начитавшись отзывов  но все оказалось намного проще  девушка по телефону  очень вежливо общалась  все зарегистрировала  дала полный ответ на все вопросы     ,1.0
26,rosgosstrah,Чита,ОСАГО,Отказ в страховании ОСАГО,"После долгого и утомительного ожидания в очереди , хотя и клиентов было мало , просто очень медленно работают, консультант сказала что Вас мы не сможем застраховать по Осаго так как программа пишет нужен осмотр авто, прижайшая запись на осморт через 10 дней. До этого я каждый годстраховался и такого небыло. Сказали скорее всего программа не дает застроховать... ",2.0,10-Aug-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/374930/?page=45,отказ в страховании осаго после долгого и утомительного ожидания в очереди   хотя и клиентов было мало   просто очень медленно работают  консультант сказала что вас мы не сможем застраховать по осаго так как программа пишет нужен осмотр авто  прижайшая запись на осморт через    дней  до этого я каждый годстраховался и такого небыло  сказали скорее всего программа не дает застроховать    ,-1.0
27,rosgosstrah,Старый Оскол,ОСАГО,Нет возможности исправить ошибку в полисе. Тех. поддержка не отвечает.,"з августа оформляли электронный полис ОСАГО. Была допущена ошибка в фамилии водителя. После оформления при попытке исправить ошибку через сайт появляется ошибка ""В настоящий момент изменение в Ваш полис невозможно"". Посетить офис возможности нет. В тот же день было отправлено обращение ([D-4023097) в службу поддержки. В авто-ответе пришла информация... ",1.0,07-Aug-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/374748/?page=45,нет возможности исправить ошибку в полисе  тех  поддержка не отвечает  з августа оформляли электронный полис осаго  была допущена ошибка в фамилии водителя  после оформления при попытке исправить ошибку через сайт появляется ошибка  в настоящий момент изменение в ваш полис невозможно   посетить офис возможности нет  в тот же день было отправлено обращение   d          в службу поддержки  в авто ответе пришла информация    ,-1.0
28,rosgosstrah,Смоленск,Каско,БЕСПРЕДЕЛ! ТЯНУТ СРОКИ ПО КАСКО! ,"19.05.20 я подал документы в Росгосстрах о повреждении моего автомобиля.Присвоили номер убытка 001777926420.05.20 они направили мне письмо, о том, что ""для полного и объективного исследования Возникла необходимость в проверке документов"" И что в соответствии с Правилами, срок рассмотрения увеличится. Хорошо, читаю правила ""Срок может быть увеличен,... ",2.0,04-Aug-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/374474/?page=46,беспредел  тянут сроки по каско            я подал документы в росгосстрах о повреждении моего автомобиля присвоили номер убытка                    они направили мне письмо  о том  что  для полного и объективного исследования возникла необходимость в проверке документов  и что в соответствии с правилами  срок рассмотрения увеличится  хорошо  читаю правила  срок может быть увеличен     ,-1.0
29,rosgosstrah,Новосибирск,ОСАГО,НЕ МОГУ ПОЛУЧИТЬ ПОЛИС,"Оформили полис ОСАГО в Росгосстрахе 04 июня, сразу списались дениги с карты и пришел чек. А сам полис не можем вытребовать до сих пор (сегодня 9 июня!). Звоним в РГС, говорят ожидайте до 10 рабочих дней! Вы шутите?! Мне на учет машину поставить надо было по записи через Госуслуги (в период пандемии документы в МРЭО принимают только так, а запись расписана... ",3.0,09-Jul-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/372148/?page=54,не могу получить полис оформили полис осаго в росгосстрахе    июня  сразу списались дениги с карты и пришел чек  а сам полис не можем вытребовать до сих пор  сегодня   июня    звоним в ргс  говорят ожидайте до    рабочих дней  вы шутите   мне на учет машину поставить надо было по записи через госуслуги  в период пандемии документы в мрэо принимают только так  а запись расписана    ,-1.0
30,rosgosstrah,Артем,ОСАГО,Затягивание выплаты,"1 ноября 2019 г. муж попал в ДТП, с тех пор начался ад. Перед машины полностью смят, выстрелили подушки безопасности, машина не на ходу. 2 раза приезжали с РГС сотрудники оценить ущерб, даже не подумав машину на сто. Бесконечное ожидание писем с отказом в выплате, хотя очевидно было изначально что она должна быть. После обращения в независимую экспертизу... ",3.0,08-Jul-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/372082/?page=54,затягивание выплаты   ноября      г  муж попал в дтп  с тех пор начался ад  перед машины полностью смят  выстрелили подушки безопасности  машина не на ходу    раза приезжали с ргс сотрудники оценить ущерб  даже не подумав машину на сто  бесконечное ожидание писем с отказом в выплате  хотя очевидно было изначально что она должна быть  после обращения в независимую экспертизу    ,-1.0
31,rosgosstrah,Химки,Страхование ответственности,Оценка ущерба РГС,"Оценщик от РГС не может прийти уже третий день для осмотра затопленной квартиры соседями сверху, имеющими полис на страхование гражданской ответственности. Все кормят, как мантрой «наш сотрудник с вами свяжется в течение суток». По звонку на горячую линию ничего не могут решить, полнейшее безразличие и некомпетентность. (дело 0017828176)",1.0,19-Jun-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/369212/?page=58,оценка ущерба ргс оценщик от ргс не может прийти уже третий день для осмотра затопленной квартиры соседями сверху  имеющими полис на страхование гражданской ответственности  все кормят  как мантрой  наш сотрудник с вами свяжется в течение суток   по звонку на горячую линию ничего не могут решить  полнейшее безразличие и некомпетентность   дело            ,-1.0
32,rosgosstrah,Волгоград,ОСАГО,Обман при расчете стоимости ОСАГО,"Страхуюсь в этой компании 5 лет, каждый год чтобы заключить договор ОСАГО, отдать деньги, а не получить их, нужно пройти пару кругов ада. Каждый год стоимость ОСАГО растет в связи с обманом при расчете - раньше менеджер, а теперь и личный кабинет упорно применяют недостоверные данные класса водителей (при отсутствии страховых случаев). К сожалению,... ",3.0,16-Jun-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/368914/?page=58,обман при расчете стоимости осаго страхуюсь в этой компании   лет  каждый год чтобы заключить договор осаго  отдать деньги  а не получить их  нужно пройти пару кругов ада  каждый год стоимость осаго растет в связи с обманом при расчете   раньше менеджер  а теперь и личный кабинет упорно применяют недостоверные данные класса водителей  при отсутствии страховых случаев   к сожалению     ,-1.0
33,rosgosstrah,Нижний Новгород,ОСАГО,Намеренно затягивают процесс рассмотрения выплатного дела,"Отвратительная контора, намеренно затягивают процесс рассмотрения выплатного дела , уже 2 раза присылают отказ заказным письмом , которое идёт больше 2х недель !!! Вводят в заблуждение , говоря что можно отправить не достающие документы на электронную почту , присылают тут же отказ и требуют оригинал документа письмом , которое опять будет идти 1,5... ",2.0,10-Jun-2020,https://www.sravni.ru/strakhovaja-kompanija/rosgosstrah/otzyv/368544/?page=59,намеренно затягивают процесс рассмотрения выплатного дела отвратительная контора  намеренно затягивают процесс рассмотрения выплатного дела   уже   раза присылают отказ заказным письмом   которое ид т больше  х недель     вводят в заблуждение   говоря что можно отправить не достающие документы на электронную почту   присылают тут же отказ и требуют оригинал документа письмом   которое опять будет идти        ,-1.0
